="BankCode",="BankName"
="000002",="KEYSTONE BANK"
="090299",="KONTAGORA MICROFINANCE BANK"
="090267",="KUDA MICROFINANCE BANK"
="070012",="LAGOS BUILDING INVESTMENT COMPANY"
="090177",="LAPO MICROFINANCE BANK"
="090271",="LAVENDER MICROFINANCE BANK"
="090372",="LEGEND MICROFINANCE BANK"
="090477",="LIGHT MFB"
="090265",="LOVONUS MICROFINANCE BANK"
="100035",="M36"
="090323",="MAINLAND MICROFINANCE BANK"
="090171",="MAINSTREET MICROFINANCE BANK"
="090465",="MAINTRUST MICROFINANCE BANK"
="090174",="MALACHY MICROFINANCE BANK"
="090410",="MARITIME MICROFINANCE BANK"
="090321",="MAYFAIR MICROFINANCE BANK"
="070019",="MAYFRESH MORTGAGE BANK"
="090280",="MEGAPRAISE MICROFINANCE BANK"
="090136",="MICROCRED MICROFINANCE BANK"
="090192",="MIDLAND MICROFINANCE BANK"
="80",="Minnies MFB"
="090281",="MINTFINEX MICROFINANCE BANK"
="100011",="MKUDI"
="090362",="MOLUSI MICROFINANCE BANK"
="120003",="MOMO PSB"
="090129",="MONEY TRUST MICROFINANCE BANK"
="100020",="MONEYBOX"
="090405",="MONIEPOINT MICROFINANCE BANK"
="090448",="MOYOFADE MICROFINANCE BANK"
="090190",="MUTUAL BENEFITS MICROFINANCE BANK"
="090151",="MUTUAL TRUST MICROFINANCE BANK"
="090152",="NAGARTA MICROFINANCE BANK"
="090263",="NAVY MICROFINANCE BANK"
="090128",="NDIORAH MICROFINANCE BANK"
="090329",="NEPTUNE MICROFINANCE BANK"
="090205",="NEW DAWN MICROFINANCE BANK"
="090378",="NEW GOLDEN PASTURES MICROFINANCE BANK"
="090108",="NEW PRUDENTIAL BANK"
="090505",="NIGERIAN PRISONS MICROFINANCE BANK"
="999999",="NIP VIRTUAL BANK"
="090194",="NIRSAL MICROFINANCE BANK"
="090283",="NNEW WOMEN MICROFINANCE BANK"
="060003",="NOVA MERCHANT BANK"
="070001",="NPF MICROFINANCE BANK"
="090491",="NSUK MFB"
="090364",="NUTURE MICROFINANCE BANK"
="090399",="NWANNEGADI MICROFINANCE BANK"
="090333",="OCHE MICROFINANCE BANK"
="090119",="OHAFIA MICROFINANCE BANK"
="090161",="OKPOGA MICROFINANCE BANK"
="090272",="OLABISI ONABANJO UNIVERSITY MICROFINANCE BANK"
="090468",="OLOFIN OWENA MICROFINANCE BANK"
="090404",="OLOWOLAGBA MICROFINANCE BANK"
="090471",="OLUCHUKWU MICROFINANCE BANK"
="090295",="OMIYE MICROFINANCE BANK"
="070007",="OMOLUABI SAVINGS AND LOANS"
="090492",="ORAUKWU MFB"
="090396",="OSCOTECH MICROFINANCE BANK"
="100002",="PAGA"
="070008",="PAGE FINANCIALS"
="100033",="PALMPAY LIMITED"
="100003",="PARKWAY-READYCASH"
="090004",="PARRALEX MICROFINANCE BANK"
="090317",="PATRICKGOLD MICROFINANCE BANK"
="110001",="PAYATTITUDE ONLINE"
="100004",="PAYCOM(OPAY)"
="090137",="PECANTRUST MICROFINANCE BANK"
="090196",="PENNYWISE MICROFINANCE BANK"
="090135",="PERSONAL TRUST MICROFINANCE BANK"
="090165",="PETRA MICROFINANCE BANK"
="090289",="PILLAR MICROFINANCE BANK"
="070013",="PLATINUM MORTGAGE BANK"
="000008",="POLARIS  BANK"
="090296",="POLYUNWANA MICROFINANCE BANK"
="090412",="PREEMINENT MICROFINANCE BANK"
="000031",="PREMIUM TRUST BANK"
="090274",="PRESTIGE MICROFINANCE BANK"
="090499",="PRISTINE DIVITIS MICROFINANCE BANK"
="090503",="PROJECTS MICROFINANCE BANK"
="000023",="PROVIDUS BANK"
="090303",="PURPLEMONEY MICROFINANCE BANK"
="090261",="QUICKFUND MICROFINANCE BANK"
="000024",="RAND MERCHANT BANK"
="070011",="REFUGE MORTGAGE BANK"
="090125",="REGENT MICROFINANCE BANK"
="090463",="REHOBOTH MICROFINANCE BANK"
="090173",="RELIANCE MICROFINANCE BANK"
="090198",="RENMONEY MICROFINANCE BANK"
="090322",="REPHIDIM MICROFINANCE BANK"
="090132",="RICHWAY MICROFINANCE BANK"
="090515",="RIMA GROWTH PATHWAY MICROFINANCE BANK"
="090138",="ROYAL EXCHANGE MICROFINANCE BANK"
="090286",="SAFE HAVEN MICROFINANCE BANK"
="090006",="SAFETRUST"
="090140",="SAGAMU MICROFINANCE BANK"
="090513",="SEAP MICROFINANCE BANK"
="090112",="SEED CAPITAL MICROFINANCE BANK"
="090369",="SEEDVEST MICROFINANCE BANK"
="090502",="SHALOM MICROFINANCE BANK"
="090401",="SHEPHERD TRUST MICROFINANCE BANK"
="090506",="SOLID ALLIANZE MFB"
="090524",="SOLIDROCK MICROFINANCE BANK"
="090325",="SPARKLE"
="100007",="STANBIC IBTC @EASE WALLET"
="000012",="STANBICIBTC BANK"
="000021",="STANDARDCHARTERED"
="090162",="STANFORD MICROFINANCE BAK"
="090262",="STELLAS MICROFINANCE BANK"
="000001",="STERLING BANK"
="090305",="SULSPAP MICROFINANCE BANK"
="000022",="SUNTRUST BANK"
="100023",="TAGPAY"
="000026",="TAJ BANK"
="080002",="TAJ_PINSPAY"
="090115",="TCF MFB"
="100010",="TEASYMOBILE"
="999998",="Test Bank"
="090373",="THINK FINANCE MICROFINANCE BANK"
="000025",="TITAN TRUST BANK"
="100039",="TITAN-PAYSTACK"
="090146",="TRIDENT MICROFINANCE BANK"
="090327",="TRUST MICROFINANCE BANK"
="090005",="TRUSTBOND MORTGAGE BANK"
="090276",="TRUSTFUND MICROFINANCE BANK"
="090315",="U & C MICROFINANCE BANK"
="090517",="UHURU MICROFINANCE BANK"
="090331",="UNAAB MICROFINANCE BANK"
="090266",="UNIBEN MICROFINANCE BANK"
="090193",="UNICAL MICROFINANCE BANK"
="090464",="UNIMAID MICROFINANCE BANK"
="000018",="UNION BANK"
="000004",="UNITED BANK FOR AFRICA"
="000011",="UNITY BANK"
="090338",="UNIUYO MICROFINANCE BANK"
="090251",="UNN MFB"
="090474",="VERDANT MICROFINANCE BANK"
="090123",="VERITE MICROFINANCE BANK"
="090110",="VFD MFB"
="090150",="VIRTUE MICROFINANCE BANK"
="090139",="VISA MICROFINANCE BANK"
="100012",="VTNETWORKS"
="000017",="WEMA BANK"
="090120",="WETLAND MICROFINANCE BANK"
="090124",="XSLNCE MICROFINANCE BANK"
="090466",="YCT MICROFINANCE BANK"
="090142",="YES MICROFINANCE BANK"
="090252",="YOBE MICROFINANCE BANK"
="000015",="ZENITH BANK PLC"
="100034",="ZENITH EAZY WALLET"
="100018",="ZENITHMOBILE"
="090504",="ZIKORA MICROFINANCE BANK"
="100025",="ZINTERNET NIGERA LIMITED"
