PlanName,Frequency,TargetAmount,HasInterest,TotalSavings,IsActive,LastSavingsAmount,LastSavingsDate,AutoSave,SavingStartDate,ShouldLockSavings,LockDuration,LastWithdrawalDate,LastWithdrawalAmount,MaturityDate,SavingAmount,Accruedinterest,LastInterestPaidDate,AccruedInterestPercentage,NextAutoSaveDate,NextWithdrawalDate,MaturityDays,HasMatured
Mature Gradually,,200,True,2000,True,500,03-10-2023 07:55:12,True,23-09-2023 07:15:00,False,0,,,24-09-2023 02:41:08,500,0,,,04-10-2023 07:55:12,,1,False
New Savings Plan,,200,True,800,True,400,03-10-2023 07:55:16,True,23-09-2027 07:15:00,False,0,,,24-09-2023 04:34:53,400,0,,,03-11-2023 07:55:16,,1,False
withdraw immediately,,200,True,1600,True,400,03-10-2023 07:55:12,True,23-09-2023 07:15:00,False,0,,,24-09-2023 02:46:54,400,0,,,04-10-2023 07:55:12,,1,False
withdraw immediately,,-100,True,0,True,,,True,23-09-2024 23:15:00,False,0,,,24-09-2023 11:35:37,-400,,,,24-09-2024 23:15:00,,1,False
Monthly savings,,115,True,500,True,100,03-10-2023 07:55:12,True,18-09-2023 23:15:00,True,0,,,19-09-2023 22:07:38,100,0,,,04-10-2023 07:55:12,19-09-2023 22:07:38,1,False
Phone ,,10000.0,True,500.0,True,500.0,11-10-2023 16:43:30,False,10-10-2023 12:24:20,False,0,,,06-02-2024 11:24:58,10000.0,,,,,,120,False
Another plan,,50000.0,True,10000.0,True,10000.0,03-10-2023 07:55:16,False,02-11-2023,True,0,,,31-01-2024 07:48:51,10000.0,,,,03-11-2023 07:55:16,31-01-2024 07:48:51,120,False
Agora subscription,,40000.0,True,13000.0,True,3000.0,02-10-2023 09:00:35,False,03-10-2023 08:56:25,True,0,,,09-04-2024 08:01:59,3000.0,0.00,,,09-10-2023 09:00:35,09-04-2024 08:01:59,190,False
Edited Plan,,60000.0,True,8503.0,True,5000.0,03-10-2023 13:10:49,False,03-10-2023 21:49:25,True,0,,,07-04-2024 20:58:07,5000.0,2.8791780821917808219178082299,,,10-10-2023 13:10:49,07-04-2024 20:58:07,190,False
Rent,,25000.0,True,700.0,True,700.0,11-10-2023 16:44:29,False,08-10-2023 04:33:41,False,0,,,01-02-2024 03:34:21,10000.0,,,,,,120,False
Christabell,,50000.0,True,3000.0,True,3000.0,09-10-2023 12:16:02,False,22-10-2023,False,0,,,31-01-2024 16:32:32,1000.0,,,,22-11-2023,,120,False
Hendrickseg,,25000.0,True,7000.0,True,5000.0,09-10-2023 12:19:40,False,04-10-2023 17:39:47,False,0,,,31-01-2024 16:40:06,2000.0,0.000,,,,,120,False
Mature Tomorrow ,,15000.0,True,15000.0,True,5000.0,13-10-2023 16:19:51,False,20-10-2023 16:15:43,True,0,,,14-10-2023 16:16:05,2000.0,0.000,,,,14-10-2023 16:16:05,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,04-10-2023 07:54:51,100,,,,,,1,False
Accomodation,,10000000,True,9000,True,1000,21-02-2024 15:32:07,True,12-09-2023 21:06:17,False,0,,,11-09-2024 21:07:18,1000,121.09589041095890410958904108,,,22-02-2024 15:32:07,,365,False
Today,,500,True,400.0,True,500.0,13-10-2023 16:09:57,False,23-09-2027 07:15:00,False,0,13-10-2023 16:09:57,500.0,10-10-2023 09:05:53,100,0,,,,24-09-2027 07:15:00,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,04-10-2023 08:02:59,100,,,,,,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,04-10-2023 08:09:54,100,,,,,,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,04-10-2023 08:10:30,100,,,,,,1,False
test,,25000000.0,True,13750.0,True,1250.0,09-10-2023 13:14:36,True,06-10-2023 16:56:41,True,0,,,22-09-2025 16:05:22,10000.0,0.00,,,16-10-2023 13:14:36,22-09-2025 16:05:22,720,False
Wer,,1250000.0,True,0,True,,,False,10-10-2023 14:15:40,True,0,,,10-10-2023 13:16:16,1470.0,,,,,10-10-2023 13:16:16,1,False
First month (November),,500,True,12000.0,True,12000.0,09-10-2023 07:47:17,False,23-09-2027 07:15:00,False,0,,,04-10-2023 13:10:26,100,,,,,24-09-2027 07:15:00,1,False
Withdraw Now,,10000.0,True,5000.0,True,5000.0,09-10-2023 08:40:03,False,13-10-2023 14:04:48,False,0,09-10-2023 08:40:03,5000.0,03-02-2024 13:05:19,10000.0,0.000,,,,10-02-2024 14:04:48,120,False
New Pakn ,,500.0,True,0,True,,,False,18-10-2023 12:28:58,False,0,,,13-10-2023 12:29:08,100.0,,,,,20-10-2023 12:28:58,2,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,12-10-2023 12:48:33,100,,,,,,1,False
Business plan,,500,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,12-10-2023 12:48:48,100,,,,,,1,False
Japa,,100000.0,True,100.0,True,100.0,16-10-2023 22:37:25,False,18-10-2023 23:30:43,False,0,,,13-02-2024 22:33:19,10000.0,,,,,,120,False
Bus,,10000.0,True,300.0,True,100.0,18-10-2023 11:12:30,False,22-10-2023 17:50:01,False,0,,,14-02-2024 16:50:08,10000.0,0.0273972602739726027397260270,,,,,120,False
Fixed Savings ,,10000.0,True,2500.0,True,1500.0,17-10-2023 06:45:05,False,15-10-2023 16:21:01,False,0,13-10-2023 16:22:01,1000.0,14-10-2023 16:21:22,10000.0,0,,,,16-10-2023 16:21:01,1,False
Good Plan,,10000.0,True,0,True,,,False,26-10-2023 06:12:37,True,0,,,23-10-2023 05:12:59,10000.0,,,,,23-10-2023 05:12:59,4,False
Brand New ,,10000.0,True,800.0,True,1000.0,18-10-2023 12:29:08,False,24-10-2023 16:50:30,False,0,18-10-2023 12:29:08,1000.0,14-02-2024 16:50:36,10000.0,0.000,,,,21-02-2024 16:50:30,120,False
New Plan,,10000.0,True,0,True,,,False,08-11-2023,False,0,,,26-04-2024 05:20:36,100.0,,,,,,190,False
Rent,,10000.0,True,25000.0,True,25000.0,19-10-2023 11:54:59,False,09-11-2023,True,0,,,02-10-2026 09:09:25,10000.0,,,,,02-10-2026 09:09:25,1080,False
Plan ,,10000.0,True,1000.0,True,1000.0,19-10-2023 05:25:42,False,22-10-2023 06:24:52,True,0,,,16-02-2024 05:25:23,10000.0,,,,,16-02-2024 05:25:23,120,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,13-02-2024 02:06:58,100,,,,,13-02-2024 02:06:58,1,False
Plan 2,,10000.0,True,1000.0,True,1000.0,19-10-2023 05:29:34,False,23-10-2023 06:26:32,False,0,,,16-02-2024 05:26:38,10000.0,,,,,20-02-2024 06:26:32,120,False
Unlocked,,10000.0,True,1000.0,True,1000.0,19-10-2023 05:58:16,False,22-10-2023 05:57:44,False,0,,,20-10-2023 05:57:56,10000.0,,,,,,1,False
Plan 4,,10000.0,True,1000.0,True,1000.0,19-10-2023 06:00:46,False,22-10-2023 06:00:21,True,0,,,16-02-2024 06:00:30,10000.0,,,,,16-02-2024 06:00:30,120,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,13-02-2024 02:06:59,100,,,,,13-02-2024 02:06:59,1,False
New Plan 3,,10000.0,True,11000.0,True,10000.0,19-10-2023 06:03:33,False,22-10-2023 06:01:58,False,0,,,16-02-2024 06:02:05,1000.0,0.00,,,,19-02-2024 06:01:58,120,False
1 Plan ,,10000.0,True,1000.0,True,1000.0,19-10-2023 06:06:10,False,22-10-2023 06:05:41,True,0,,,16-02-2024 06:05:53,10000.0,,,,,16-02-2024 06:05:53,120,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,13-02-2024 02:12:25,100,,,,,13-02-2024 02:12:25,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,14-02-2024 20:19:52,100,,,,,14-02-2024 20:19:52,1,False
2 Plan,,10000.0,True,9800.0,True,800.0,25-10-2023 18:04:24,False,22-10-2023 06:07:08,False,0,,,16-02-2024 06:07:24,10000.0,14.794520547945205479452054760,,,,19-02-2024 06:07:08,120,False
Sapa Fund,,25000.0,True,0,True,,,False,22-10-2023 13:20:07,True,0,,,26-04-2024 12:22:48,25000.0,,,,,26-04-2024 12:22:48,190,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 04:04:38,100,,,,,20-02-2024 04:04:38,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,04-11-2023 10:47:32,100,,,,,04-11-2023 10:47:32,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,08-12-2023 16:34:44,100,,,,,08-12-2023 16:34:44,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 05:27:40,100,,,,,20-02-2024 05:27:40,1,False
Greta Oal. ,,10000.0,True,3600.0,True,800.0,27-10-2023 11:12:37,False,22-10-2023 08:31:07,False,0,,,16-02-2024 08:31:15,10000.0,0.0,,,,19-02-2024 08:31:07,120,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 05:33:06,100,,,,,20-02-2024 05:33:06,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,13-02-2024 01:00:07,100,,,,,13-02-2024 01:00:07,1,False
Escape Plan,,2000.0,True,7000.0,True,1000.0,21-02-2024 15:32:07,True,27-10-2023 13:12:49,False,0,,,21-10-2023 12:14:53,1000.0,0,,,22-02-2024 15:32:07,,1,False
234,,852.0,True,615.0,True,123.0,21-02-2024 15:32:07,True,06-11-2023 13:54:56,True,0,,,02-11-2023 13:01:53,123.0,0,,,22-02-2024 15:32:07,02-11-2023 13:01:53,1,False
Sapa Funds,,10000.0,True,40000.0,True,10000.0,21-02-2024 15:32:07,True,29-10-2023 13:22:59,True,0,,,24-02-2024 13:23:29,10000.0,78.082191780821917808219178000,,,22-02-2024 15:32:07,24-02-2024 13:23:29,120,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 03:54:26,100,,,,,20-02-2024 03:54:26,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 05:38:34,100,,,,,20-02-2024 05:38:34,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 03:59:29,100,,,,,20-02-2024 03:59:29,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 03:49:20,100,,,,,20-02-2024 03:49:20,1,False
Sync,,1000.0,True,2258.0,True,500.0,21-02-2024 15:32:07,True,03-11-2023 14:28:18,False,0,,,28-10-2023 13:34:22,500.0,0,,,22-02-2024 15:32:07,,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 05:44:11,100,,,,,20-02-2024 05:44:11,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 05:54:54,100,,,,,20-02-2024 05:54:54,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:00:26,100,,,,,20-02-2024 06:00:26,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:05:54,100,,,,,20-02-2024 06:05:54,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:11:01,100,,,,,20-02-2024 06:11:01,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:15:55,100,,,,,20-02-2024 06:15:55,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:21:10,100,,,,,20-02-2024 06:21:10,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,20-02-2024 06:26:28,100,,,,,20-02-2024 06:26:28,1,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,22-02-2024 15:31:41,100,,,,,22-02-2024 15:31:41,1,False
Demo,,25000.0,True,40000.0,True,10000.0,21-02-2024 15:32:06,True,27-10-2023 13:25:48,False,0,,,23-10-2023 12:27:24,10000.0,0,,,22-02-2024 15:32:06,,3,False
First month (November),,500,True,0,True,,,False,23-09-2027 07:15:00,True,0,,,27-02-2024 01:31:41,100,,,,,27-02-2024 01:31:41,1,False
